country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Czech Republic,18.0,4.0,3,70.0,Available,,,On site,No,450.0,5,1
Italy,29.0,4.0,,120.0,,2,,,No,,,0.1
Italy,33.0,4.0,,,,,0.3,0.03 km,No,,,0.1
Germany,18.0,4.0,1.5,60.0,Available,,,,,,12,1
Croatia,24.0,4.0,,153.0,,On,,,,,,
Italy,57.0,4.0,4,300.0,Available,,,,Yes,1670.0,35,0.1
Great Britain,19.0,4.0,,,,5,,,No,,,
Germany,18.0,4.0,11,690.0,,,On,,,,3,0.1
Germany,23.0,4.0,6.5,72.0,,,,,,,,
Germany,25.0,4.0,4,90.0,,,3.5,0.5 km,Yes,,15,0.5
Germany,23.0,4.0,4,250.0,Not available,,2.5,,Yes,600.0,7,1
Germany,29.0,4.0,2,,Not available,On,,,No,,20,1
Germany,24.0,4.0,,60.0,Not available,,3.5,,Yes,,1,0.1
Germany,21.0,4.0,,130.0,,,On,,,,,
Germany,25.0,4.0,1.5,50.0,Not available,,On,7 km,,,15,
Italy,28.0,4.0,,51.0,,,,,,,,
Great Britain,22.0,4.0,,,Not available,,On,,,,,
Netherlands,25.0,4.0,4,90.0,Not available,,,,No,,6,0.7
Germany,16.0,4.0,,66.0,Not available,,,,,300.0,8,
Switzerland,30.0,4.0,1,60.0,Not available,,5,0.5 km,Yes,1200.0,25,0.05
Germany,17.0,4.0,3,160.0,Not available,,,,Yes,730.0,,0.05
Norway,31.0,4.0,400,175.0,Not available,,0.1,0.2 km,No,160.0,1.5,0.5
Germany,13.0,4.0,,30.0,,,0.2,,No,,1.5,1
Czech Republic,12.0,4.0,1.5,70.0,,,On,,No,,15,0.5
Italy,35.0,4.0,1,120.0,,On,,,,,5,1
Italy,35.0,4.0,,162.0,,On,,,No,,1,0.2
Denmark,28.0,4.0,5,190.0,Available,On,,,No,,30,4
Netherlands,25.0,4.0,17,168.0,Not available,On,,On site,No,,15,2
Germany,14.0,4.0,3,160.0,Not available,,,,Yes,450.0,30,0.1
Norway,31.0,4.0,,80.0,Not available,,,,,,,
Spain,27.0,4.0,,125.0,,,,,Yes,,,3
Czech Republic,11.0,4.0,10,250.0,,,On,7 km,,,7,3
Denmark,25.0,4.0,,234.0,,On,,,,,,
Germany,19.0,4.0,,150.0,,,1.5,,No,,38,1.2
Germany,21.0,4.0,,,Not available,,On,,,,17,0.5
Norway,22.0,4.0,,,,,,On site,Yes,,,
Spain,27.0,4.0,28,270.0,,On,,25 km,No,,25,2
France,27.0,4.0,6,182.0,Not available,On,,,No,,1.5,1.5
Croatia,21.0,4.0,0.2,20.0,,On,,,,5.0,50,0.1
Italy,57.0,4.0,50,350.0,,On,,,,,1.5,2.5
France,9.0,4.0,2,100.0,,,,On site,No,,,
France,23.0,4.0,11,198.0,Not available,,,,,,,
Germany,22.0,4.0,2.5,600.0,Not available,,On,,No,338.0,3,0.2
Germany,15.0,4.0,,99.0,Available,,On,,No,,10,
Germany,28.0,4.0,,110.0,,,,,,,,
