country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Germany,23.0,4.0,,280.0,,,,,,,,
Hungary,20.0,4.0,1.5,100.0,,,0.5,,No,,1,0.1
Greece,23.0,4.0,13,80.0,,On,,,No,,8,0.5
Germany,19.0,4.0,3.5,98.0,Not available,,On,,No,2.0,10,1.5
Hungary,34.0,4.0,,0.0,,,On,,No,134.0,2,0.1
Italy,31.0,4.0,1,19.0,Not available,60,0.5,,,,4,4
Germany,20.0,4.0,6,70.0,,,On,,Yes,,5,5
Croatia,21.0,4.0,0.4,23.0,,On,,,,10.0,45,
Great Britain,43.0,4.0,,,,3,,,No,,,1
France,11.0,4.0,6,150.0,Not available,,,On site,No,60.0,15,4
France,11.0,4.0,,75.0,,,,,No,,20,12
Slovakia,12.0,4.0,4,200.0,,,10,On site,Yes,,3,1.5
Belgium,22.0,4.0,3,250.0,,,,On site,Yes,,0.7,1
Germany,29.0,4.0,3,135.0,Not available,,On,,,,3,1
Norway,35.0,4.0,35,190.0,,On,,,No,,20,18
Germany,18.0,4.0,3.5,180.0,Not available,,0.1,On site,No,295.0,8,0.2
Italy,23.0,4.0,,98.0,Not available,100,On,On site,Yes,250.0,5,10
Czech Republic,16.0,4.0,1.6,150.0,,,On,,Yes,730.0,12,0.5
Croatia,13.0,4.0,,,,,,,,,,
Italy,29.0,4.0,2,300.0,Not available,On,,,No,40.0,10,3
Czech Republic,20.0,4.0,2,100.0,,,,7 km,No,,6,0.2
Italy,31.0,4.0,,,,1,,,No,,,On
Italy,22.0,4.0,,50.0,,,On,0.3 km,No,,6,0.5
Denmark,31.0,4.0,6.4,230.0,,0.4,5,,No,,15,1
France,21.0,4.0,8.8,486.0,Not available,0.5,8,0.5 km,No,,8,1
France,25.0,4.0,3.6,163.0,,,,,,,2,
France,17.0,4.0,1.79,91.0,Not available,,,On site,No,,0.1,0.1
France,24.0,4.0,5,211.0,,,,,No,,5,0.1
France,23.0,4.0,1.5,100.0,Not available,,On,,No,420.0,6,0.5
Netherlands,32.0,4.0,,280.0,,0.05,,,No,,10,0.1
Netherlands,34.0,4.0,35,639.0,Not available,,,,,,,
Sweden,25.0,4.0,44,557.0,,On,,On site,No,,10,0.1
Sweden,27.0,4.0,11,100.0,Not available,,On,,,,20,20
Switzerland,46.0,4.0,1.2,110.0,Not available,,2,On site,Yes,1473.0,20,0.5
Germany,18.0,4.0,10,350.0,Not available,,,On site,No,,20,0.5
Switzerland,41.0,4.0,,110.0,,,On,1.2 km,,1817.0,,1.2
Germany,14.0,4.0,,48.0,,,,On site,,,,
Latvia,19.0,4.0,3,50.0,Not available,14,8,On site,No,8.0,21,7
Norway,27.0,4.0,,,,0.02,,,Yes,,,0.5
Germany,24.0,4.0,6,80.0,Not available,,On,,No,,,
Croatia,18.0,4.0,1.3,70.0,Not available,,,,,,,
Denmark,24.0,4.0,18,150.0,,On,,,No,,13,3
France,15.0,4.0,0.9,40.0,,,,,,,,
France,25.0,4.0,5,140.0,,On,,,,,7,2.5
France,18.0,4.0,1.7,90.0,Not available,18,3,,No,,3,0.3
France,17.0,4.0,,,Not available,,,On site,Yes,,,0.5
France,38.0,4.0,35,50.0,Not available,,,1 km,No,500.0,60,3
Sweden,26.0,4.0,4,218.0,,,On,,No,70.0,3,0.1
Germany,21.0,4.0,2,50.0,,5,5,2.5 km,No,,2.5,2.5
Germany,35.0,4.0,,80.0,,,,,Yes,,1.5,0.5
Austria,9.0,4.0,2,100.0,Not available,,0.2,1.5 km,No,,8,6
Norway,25.0,4.0,3,50.0,,,On,,No,,14,0.2
Austria,9.0,4.0,2,100.0,Not available,,0.2,1.5 km,No,,8,6
Norway,25.0,4.0,3,50.0,,,On,,No,,14,0.2
Norway,8.0,4.0,,80.0,Not available,0.5,,On site,,,3,2
Great Britain,19.0,4.0,,,,On,,,No,,,On
Germany,15.0,4.0,,,,,On,,No,,,
Germany,23.0,4.0,1.4,180.0,Not available,0.2,,,No,,12,4
Italy,29.0,4.0,2.5,120.0,Not available,On,,On site,No,,,
Germany,21.0,4.0,,,,,,,,,,
Latvia,30.0,4.0,0.3,10.0,Not available,1,,On site,No,,On,0.3
Sweden,21.0,4.0,,,,,,,,,,
Germany,18.0,4.0,3,50.0,Available,,,On site,,330.0,15,0.5
Germany,23.0,4.0,4.5,200.0,,,On,,,,10,1
Germany,20.0,4.0,25,350.0,Available,,On,6 km,No,100.0,40,On
Croatia,26.0,4.0,1.5,93.0,Available,On,,,No,,7,1
Italy,35.0,4.0,3.8,200.0,Not available,On,,,No,,10,0.1
Italy,16.0,4.0,1,,Not available,On,,,,,,
Italy,20.0,4.0,15,60.0,Not available,,,1 km,Yes,,1,1
Italy,24.0,4.0,,50.0,,,On,0.5 km,Yes,200.0,On,On
Denmark,43.0,4.0,10,421.0,Not available,0.5,,,No,,1.5,1
Denmark,35.0,4.0,10,258.0,Not available,0.8,,,No,,20,20
Denmark,30.0,4.0,2.5,270.0,,On,,,Yes,45.0,45,2
Denmark,20.0,4.0,,,,On,,,No,,,
Denmark,28.0,4.0,10,158.0,,On,,,No,,14,0.2
Great Britain,21.0,4.0,,,,On,,,No,,,On
France,30.0,4.0,13,664.0,,,,,,,,
France,33.0,4.0,11,160.0,,30,15,3 km,No,,10,3
France,29.0,4.0,,,,,0.25,,No,,,0.3
Netherlands,21.0,4.0,10,350.0,Not available,0.3,,,No,,10,0.3
Switzerland,24.0,4.0,1,40.0,Not available,,,0.5 km,,1075.0,45,0.1
Spain,18.0,4.0,4,456.0,,,,On site,No,825.0,3,0.9
Spain,33.0,4.0,40,,,,15,,Yes,900.0,20,0.8
Switzerland,35.0,4.0,,320.0,,,,On site,No,,20,
Bosnia-Herzegovina,19.0,4.0,2.5,39.0,Not available,120,30,On site,Yes,223.0,5,6
Norway,27.0,4.0,5,25.0,,On,,9 km,,,80,8
Germany,14.0,4.0,,,,,On,On site,No,,,0.1
Turkey,2.0,4.0,,70.0,,On,,,,,0.1,
Sweden,23.0,4.0,,60.0,,,On,,No,,10,10
Germany,15.0,4.0,,90.0,Not available,,,On site,,,3,2
Germany,29.0,4.0,,,Available,,,On site,,,,0.1
Czech Republic,15.0,4.0,1,1.0,,,0.1,,,450.0,4,0.3
Czech Republic,13.0,4.0,5,72.0,,,1.5,,No,,On,0.15
Italy,34.0,4.0,35,60.0,Not available,On,On,,No,,12,0.7
Italy,21.0,4.0,0.7,60.0,Not available,,,On site,Yes,620.0,5,0.1
Denmark,27.0,4.0,75,385.0,Not available,On,,,,,13,1.5
Denmark,29.0,4.0,,230.0,,On,,,No,,10,On
Denmark,25.0,4.0,2,120.0,,On,,,,,17,0.5
Denmark,22.0,4.0,,63.0,,On,,,No,,25,0.5
Denmark,30.0,4.0,,110.0,,On,,0.5 km,No,,20,On
Great Britain,30.0,4.0,,,,2,,,No,,,0.5
France,18.0,4.0,2,50.0,Not available,,,On site,No,,4,
France,23.0,4.0,5,216.0,,On,,,,,2.5,3.5
France,32.0,4.0,3.1,100.0,,,30,1.5 km,Yes,,,1.5
France,18.0,4.0,4.5,115.0,Not available,,4.9,On site,,600.0,300,200
France,25.0,4.0,6,85.0,Not available,On,,,No,,6,1
France,31.0,4.0,6,80.0,Not available,0.6,,1 km,,,20,20
France,17.0,4.0,,,,,,On site,No,,,On
France,14.0,4.0,,,,,,,Yes,,,On
France,27.0,4.0,,100.0,,,,,No,,25,1
France,32.0,4.0,2,83.0,Not available,,,,,,,
France,16.0,4.0,,,,,,On site,No,,,On
France,32.0,4.0,2,83.0,Not available,,,,,,,
France,16.0,4.0,,,,,,On site,No,,,On
France,18.0,4.0,31,33.0,Not available,,On,On site,,,10,1.5
France,28.0,4.0,,120.0,,,On,On site,,,5,
France,20.0,4.0,3,143.0,Available,,2.5,0.5 km,,720.0,30,0.5
France,22.0,4.0,14,467.0,Not available,,,On site,,,,
Netherlands,25.0,4.0,10,125.0,,,On,,No,,3,6
Portugal,23.0,4.0,,,,On,,On site,No,,,
Slovenia,19.0,4.0,1.5,100.0,Not available,,5,2 km,,510.0,0.1,0.4
Sweden,40.0,4.0,,460.0,,,,,,,,
Sweden,21.0,4.0,,100.0,,,On,,No,,0.9,0.9
Belgium,22.0,4.0,,,,5,,,No,,,
Norway,26.0,4.0,,,,,On,10 km,Yes,,,
Hungary,12.0,4.0,3,500.0,,,On,2 km,No,,50,1
Hungary,27.0,4.0,5,100.0,,,On,12 km,No,,12,1
Turkey,10.0,4.0,4,50.0,,,,,No,,1,1
Greece,29.0,4.0,,120.0,,On,,,No,,,0.1
Montenegro,12.0,4.0,2,20.0,,150,On,On site,,,0.5,0.1
Switzerland,23.0,4.0,,,,,,,Yes,,,
Italy,28.0,4.0,15,23.0,,,,,,,,
Albania,15.0,4.0,,100.0,,,,,,,,
Portugal,15.0,4.0,,14.0,Not available,20,,,,200.0,6,1
Albania,10.0,4.0,0.5,10.0,Available,,On,,Yes,700.0,2,0.5
Germany,17.0,4.0,1,20.0,,,,On site,Yes,160.0,5,7
Greece,20.0,4.0,1.5,75.0,,On,,,,,26,4
Sweden,27.0,4.0,9,52.0,Available,,On,,,,9,9
Netherlands,19.0,4.0,2,20.0,Available,,,,,,,
Albania,5.0,4.0,0.5,,,152,On,30 km,No,600.0,15,On
Poland,15.0,4.0,,70.0,,,,On site,No,,8,
Montenegro,15.0,4.0,,25.0,Not available,,,,Yes,,15,
Germany,22.0,4.0,,45.0,Available,0.45,,,,,6,0.5
Italy,30.0,4.0,,245.0,,On,,,,,28,On
Italy,35.0,4.0,0.6,42.0,,,On,,,195.0,7,0.5
Italy,16.0,4.0,,,Available,On,,,,,20,1
Italy,25.0,4.0,2,75.0,Not available,50,,20 km,Yes,730.0,40,0.5
Italy,28.0,4.0,1.3,104.0,,,,1 km,Yes,1020.0,7,1
Italy,22.0,4.0,7,155.0,Not available,On,,,No,,13,6
Italy,22.0,4.0,3.5,132.0,Not available,25,,,No,200.0,25,1.4
Italy,22.0,4.0,,,,,0.05,On site,No,,,On
Denmark,26.0,4.0,5.3,320.0,,1.5,,,,3.0,,0.5
Denmark,25.0,4.0,3.4,176.0,,,,,,,,
Denmark,30.0,4.0,"41,000",203.0,Not available,0.2,,,No,,25,1.5
Denmark,23.0,4.0,,90.0,,On,,,No,,,0.8
Finland,29.0,4.0,7,30.0,,,On,,Yes,130.0,50,2
Great Britain,27.0,4.0,9,90.0,,,,,,,,
Great Britain,28.0,4.0,25,220.0,,,,On site,No,,10,1
France,17.0,4.0,,,,,,,No,,,0.5
France,16.0,4.0,,31.0,,,,,No,,2,0.3
France,20.0,4.0,2.7,170.0,,0.1,6,,No,5.0,15,6
France,21.0,4.0,5,140.0,Available,,0.3,4 km,Yes,650.0,8,1
France,21.0,4.0,,,,,5,On site,No,,,
France,13.0,4.0,,60.0,,,,On site,No,,10,10
France,14.0,4.0,,105.0,,,,,No,,4,11
France,23.0,4.0,9,165.0,,,On,,No,,35,0.3
France,18.0,4.0,5,99.0,Not available,,On,,No,,3,3
France,16.0,4.0,,200.0,Not available,,On,5 km,Yes,735.0,5,1
France,20.0,4.0,3.5,45.0,Not available,,,,,,17,2.2
France,27.0,4.0,60,163.0,,,,On site,Yes,,,
France,19.0,4.0,3,83.0,,,,,,,,
France,25.0,4.0,3,90.0,Not available,20,20,0.2 km,,,20,4
France,39.0,4.0,6,217.0,,,,,,,,
France,24.0,4.0,1.2,44.0,Not available,,5,On site,Yes,920.0,12,0.2
Netherlands,23.0,4.0,12,415.0,,5,5,12 km,No,,5,0.5
Netherlands,21.0,4.0,8,90.0,,,On,,No,,20,3
Netherlands,17.0,4.0,1,20.0,Not available,30,On,2 km,No,,1,0.5
Netherlands,22.0,4.0,12,200.0,Not available,,,,,,,
Netherlands,28.0,4.0,1,60.0,Not available,,,,No,141.0,10,0.3
Netherlands,23.0,4.0,,,Not available,,,,No,,7,1.5
Netherlands,15.0,4.0,1.5,40.0,,,,,No,,9,4
Portugal,19.0,4.0,,,,1,,,Yes,,,1
Portugal,19.0,4.0,,,,1,,,Yes,,,1
Sweden,25.0,4.0,,350.0,,8,,,No,,1.5,1.5
Sweden,21.0,4.0,10,32.0,,,,On site,No,,150,0.5
Sweden,35.0,4.0,,450.0,,0.2,20,,No,,8,6
Sweden,18.0,4.0,2,52.0,,,On,,No,,26,4
Sweden,18.0,4.0,,81.0,,,On,,No,,25,1
Switzerland,26.0,4.0,1.2,100.0,Not available,,,,No,350.0,5,1
Switzerland,26.0,4.0,,,,,,,,,,
Switzerland,35.0,4.0,0.15,15.0,,,,0.05 km,,420.0,,0.1
Switzerland,27.0,4.0,1.5,90.0,Not available,,,,,,,
Germany,19.0,4.0,,65.0,Not available,,,,,,,
Germany,18.0,4.0,1,50.0,Not available,,,On site,No,,4,1
Germany,17.0,4.0,,80.0,Not available,,1,On site,,400.0,2,On
Germany,17.0,4.0,2.5,120.0,Not available,,,On site,,180.0,18,0.4
Germany,13.0,4.0,3,150.0,,,On,,,,8,1
Austria,28.0,4.0,3,92.0,Not available,,On,On site,No,,8,
Norway,30.0,4.0,,75.0,,,,On site,Yes,,28,3
Hungary,27.0,4.0,,8.0,Not available,,23,23 km,No,,23,4.5
Hungary,20.0,4.0,6,200.0,,,,On site,Yes,,10,1.5
Spain,22.0,4.0,2.5,170.0,,0.2,3,,No,1.0,8,0.2
Estonia,20.0,4.0,,50.0,,,3,4 km,No,,2,3
Switzerland,34.0,4.0,,150.0,,,,,,,,
Serbia,22.0,4.0,,,,,,,,,,
Germany,27.0,4.0,,34.0,Not available,,0.5,On site,No,,0.5,0.5
France,18.0,4.0,14,63.0,,On,,,,,12,1
Italy,29.0,4.0,,165.0,,,,On site,Yes,,,0.5
Netherlands,24.0,4.0,7,85.0,Not available,7,On,,,,8,0.5
Spain,31.0,4.0,14,200.0,,100,30,,No,,50,4
Germany,20.0,4.0,,25.0,,,,,Yes,,,On
Croatia,16.0,4.0,,,,On,,,,,,
Belgium,20.0,4.0,1,15.0,Available,,,,,,,
Croatia,24.0,4.0,3,14.0,Available,30,,,,600.0,10,10
Croatia,30.0,4.0,,50.0,,,,,,,,
Bosnia-Herzegovina,10.0,4.0,,,,,4,0.1 km,,,,0.2
Czech Republic,16.0,4.0,1.7,35.0,Not available,,0.3,,Yes,640.0,8,8
Czech Republic,20.0,4.0,,30.0,Not available,,30,On site,No,470.0,6,1
Italy,18.0,4.0,,30.0,,0.1,,,,,2,0.3
Hungary,12.0,4.0,8,100.0,,,On,,No,,45,1
Italy,15.0,4.0,,412.0,Not available,,,,,,,
Germany,16.0,4.0,,,,,On,1 km,No,,,1
Germany,25.0,4.0,8,46.0,Not available,,,On site,Yes,190.0,8,On
Croatia,19.0,4.0,,40.0,Available,On,,,No,,6,0.1
Czech Republic,14.0,4.0,,,,,,,No,,,
Czech Republic,13.0,4.0,2.5,100.0,,,,,No,,1.5,2.5
Italy,44.0,4.0,1,50.0,Not available,On,,,,,9,0.15
Italy,39.0,4.0,7,300.0,Not available,On,,,,,7,7
Italy,24.0,4.0,,,,0.2,,,No,,5,On
Italy,24.0,4.0,40,,,On,,,,,,0.1
Italy,24.0,4.0,"36,000",157.0,Not available,On,,,No,,1.5,0.2
Italy,30.0,4.0,2.3,120.0,Not available,,On,,,,2,2
Italy,30.0,4.0,5,229.0,,On,,,,,,15
Italy,31.0,4.0,1.5,40.0,,24,,7 km,Yes,,25,0.5
Italy,28.0,4.0,,,,,On,,Yes,,,On
Italy,47.0,4.0,6,350.0,,On,,,,,2,2
Italy,33.0,4.0,5,100.0,Available,40,,6 km,,400.0,12,12
Italy,18.0,4.0,5.5,113.0,,9,,,,,,0.3
Italy,24.0,4.0,,140.0,,,On,On site,Yes,,25,1
Italy,27.0,4.0,10,100.0,Not available,50,5,5 km,Yes,500.0,1,1
Denmark,35.0,4.0,3,150.0,Not available,,,,,,,
Denmark,18.0,4.0,3.5,200.0,Not available,1.5,,1 km,No,,30,On
Denmark,20.0,4.0,2,85.0,,0.5,,,No,,20,8
Denmark,24.0,4.0,4.2,192.0,,,,,No,,11,4
Denmark,24.0,4.0,6,125.0,,On,,,,,25,0.2
Denmark,23.0,4.0,3.5,160.0,,1,2,,,7.0,1.5,0.2
Great Britain,23.0,4.0,12,45.0,,40,2,2 km,No,,12,
Great Britain,21.0,4.0,,,,On,,,No,,,On
Great Britain,23.0,4.0,,,,8,,,No,,,1
Great Britain,18.0,4.0,,,,0.5,,,No,,,
Great Britain,30.0,4.0,,108.0,,On,,,No,,3,1
Great Britain,35.0,4.0,,50.0,,3,,1 km,,,,2
Great Britain,20.0,4.0,,,,,,,No,,,On
France,15.0,4.0,,,,,,On site,Yes,,,
France,25.0,4.0,26,88.0,Not available,,,,,,,
France,15.0,4.0,2.5,63.0,,25,25,10 km,No,,8,5
France,36.0,4.0,6,228.0,,,,,,,,
France,20.0,4.0,3,75.0,,,3,2 km,Yes,,15,15
France,15.0,4.0,3,50.0,Available,,3,,No,214.0,6,5
France,24.0,4.0,1.9,54.0,Available,2.5,,,,,1.5,2
France,18.0,4.0,,156.0,,,On,0.2 km,No,,,
France,15.0,4.0,,25.0,,15,,4 km,No,,7,
France,19.0,4.0,2,90.0,Not available,,On,0.6 km,Yes,980.0,18,0.6
France,30.0,4.0,5,180.0,,,,On site,,,1,1
France,25.0,4.0,1,114.0,,25,15,On site,No,,17,
France,25.0,4.0,1,114.0,,25,15,On site,No,,17,
France,32.0,4.0,6,192.0,Available,,,,,,,
France,11.0,4.0,,160.0,,,,,,,,
France,19.0,4.0,1.2,43.0,,,,,,,,
France,15.0,4.0,,227.0,,1,,,Yes,,30,1
France,24.0,4.0,,100.0,,65,18,0.5 km,Yes,,10,3.5
France,26.0,4.0,2,90.0,,50,,On site,Yes,600.0,15,1
France,12.0,4.0,,,,,,On site,No,,,On
France,15.0,4.0,,,,,,On site,No,,,1
France,16.0,4.0,,,,,0.3,,Yes,,,1
France,26.0,4.0,4,160.0,,,,On site,Yes,,5,1
France,26.0,4.0,,100.0,,,,,,,,
France,20.0,4.0,2.5,88.0,,,,,,,,
France,28.0,4.0,,,,,,,No,,,
France,17.0,4.0,4.5,200.0,Available,,,,,,,
France,24.0,4.0,2.1,86.0,Not available,,,,No,,,2
France,9.0,4.0,,75.0,Not available,,,,,,,
France,18.0,4.0,,65.0,,,,,Yes,,,
France,18.0,4.0,,,Not available,,,On site,Yes,,,
France,23.0,4.0,5.5,40.0,Not available,2,,,No,100.0,1,0.4
France,34.0,4.0,1.5,50.0,,,,,,,,
France,49.0,4.0,5.5,238.0,Not available,3,,,,,9,0.01
France,17.0,4.0,,10.0,,0.4,,,,,3,0.1
France,27.0,4.0,4,123.0,,,,,,,25,On
France,30.0,4.0,,,,0.2,,,No,,,On
France,15.0,4.0,4,100.0,,69,4,17 km,,590.0,45,
France,14.0,4.0,,47.0,,,12,,Yes,,17,0.6
France,26.0,4.0,2.5,97.0,Not available,,,1 km,,450.0,70,1
France,18.0,4.0,,25.0,,220,25,On site,Yes,,0.6,0.6
France,41.0,4.0,6.5,176.0,Not available,,,On site,No,300.0,20,0.5
France,21.0,4.0,2.2,69.0,Not available,,,,No,,10,1
Netherlands,31.0,4.0,12,185.0,Not available,,,1 km,,,6,On
Netherlands,24.0,4.0,1,20.0,Not available,4,4,,No,,6,3
Netherlands,22.0,4.0,30,500.0,,,On,1 km,No,,15,0.5
Netherlands,26.0,4.0,11,280.0,Not available,,,,No,,9,0.5
Netherlands,20.0,4.0,,,,,,,No,,,2.5
Netherlands,23.0,4.0,30,750.0,,,On,,,,5,3
Netherlands,18.0,4.0,6,130.0,Available,,10,1 km,No,,6,2
Netherlands,20.0,4.0,2,40.0,,,,On site,,,10,0.5
Netherlands,30.0,4.0,7,115.0,Not available,,On,0.5 km,,,6,3
Netherlands,22.0,4.0,7,200.0,Not available,,7,,,,3,3
Portugal,16.0,4.0,1.2,400.0,Not available,120,15,0.1 km,No,450.0,On,0.1
Portugal,20.0,4.0,,25.0,,18,,4 km,Yes,,35,5
Slovakia,16.0,4.0,2,45.0,,,,4 km,Yes,,4,2
Sweden,25.0,4.0,,40.0,,0.3,,,Yes,,45,0.2
Sweden,20.0,4.0,,100.0,,,On,,Yes,,45,1
Sweden,21.0,4.0,11,100.0,,,On,On site,No,,35,1
Sweden,31.0,4.0,,200.0,,On,,,,,15,15
Switzerland,16.0,4.0,,80.0,,,,,,,,
Belgium,24.0,4.0,,224.0,Not available,,,0.1 km,No,,,On
Belgium,32.0,4.0,5.5,129.0,Not available,,,On site,No,,7,1
Belgium,18.0,4.0,2,84.0,Not available,,9,On site,Yes,,0.04,1
Belgium,18.0,4.0,,,,,,,No,,,
Belgium,30.0,4.0,7,320.0,,,,8 km,Yes,,8,0.5
Belgium,14.0,4.0,,180.0,,,On,On site,No,,12,
Belgium,17.0,4.0,,36.0,Not available,,,,No,,,
Germany,12.0,4.0,,,,,0.08,0.5 km,No,,,3
Germany,18.0,4.0,,,,,On,4 km,No,,8,0.1
Hungary,30.0,4.0,0.9,70.0,,,1.5,,,,18.2,1.5
Hungary,10.0,4.0,,25.0,,,2,On site,No,,6,2.5
Greece,28.0,4.0,2,170.0,,On,,On site,,,100,On
Greece,25.0,4.0,,,,,,,,,,
Estonia,10.0,4.0,3,90.0,,,0.5,,No,,5,1.7
Spain,19.0,4.0,2,220.0,,,25,12 km,No,,80,0.5
Spain,30.0,4.0,2.5,30.0,Not available,,,2 km,Yes,650.0,38,1
Spain,46.0,4.0,,,,1,,6 km,No,,40,0.5
Spain,46.0,4.0,,,,1,,6 km,No,,40,0.5
Spain,24.0,4.0,,,,,,,Yes,,3,3
Spain,29.0,4.0,,300.0,Not available,,,2 km,Yes,1100.0,30,0.5
Spain,20.0,4.0,3.5,261.0,Not available,1,,4 km,No,,20,0.1
Spain,28.0,4.0,60,145.0,,0.1,,,,,20,0.01
Spain,27.0,4.0,3,300.0,Not available,,1,On site,No,350.0,65,1
Spain,25.0,4.0,2.8,120.0,,1,,On site,No,35.0,8,0.8
Spain,29.0,4.0,0.8,50.0,,0.25,,,No,30.0,27,0.7
Netherlands,25.0,4.0,9,235.0,,1,,,No,,8,1
Great Britain,50.0,4.0,10,150.0,,3,,,No,,1,0.5
Italy,23.0,4.0,12,155.0,,,20,,Yes,,30,0.1
Italy,33.0,4.0,1,71.0,Not available,On,,,,,5,5
Germany,16.0,4.0,12,50.0,,,,On site,Yes,,22,9
Germany,22.0,4.0,,,,,,,Yes,,,
Spain,22.0,4.0,,,,,,On site,Yes,,12,1
Italy,28.0,4.0,,60.0,Not available,,,,,,,
Great Britain,17.0,4.0,,,,,,,Yes,,,
Germany,23.0,4.0,1.5,40.0,Not available,30,On,,No,,5,On
Netherlands,18.0,4.0,,,,,,,No,,,2
France,11.0,4.0,1.2,50.0,,20,,On site,,,4,4
Ukraine,20.0,4.0,12,100.0,,,On,,No,,12,1
Portugal,13.0,4.0,3,400.0,Available,100,15,35 km,,,42,On
Croatia,24.0,4.0,0.5,15.0,,3,,40 km,Yes,300.0,15,3
Germany,20.0,4.0,,9.0,Not available,,2.5,,No,100.0,8,0.3
Sweden,26.0,4.0,10,115.0,Not available,2.5,,,No,50.0,62,2.2
Great Britain,14.0,4.0,,,,On,,,No,,,
Portugal,7.0,4.0,,,,,,,Yes,,,On
Spain,33.0,4.0,,,,On,,,,10.0,25,
Russia,28.0,4.0,,40.0,Not available,,0.3,,No,,,0.35
Belarus,10.0,4.0,2,60.0,Available,,On,,,,,
Romania,10.0,4.0,5,50.0,Available,,,,,,,
Germany,26.0,4.0,,80.0,,,4,On site,,530.0,9,On
Slovakia,21.0,4.0,0.5,12.0,Not available,,27,1.5 km,Yes,850.0,10,0.1
Switzerland,45.0,4.0,,,Not available,,,On site,No,650.0,10,1
Austria,20.0,4.0,,88.0,,,,,,,,1
Austria,30.0,4.0,,370.0,Not available,,0.5,,Yes,800.0,10,1
Russia,20.0,4.0,,30.0,,,,,,,,
Great Britain,20.0,4.0,0.3,50.0,Not available,On,,,No,,10,0.3
Germany,17.0,4.0,1,5.0,Available,1,,,No,3.0,10,0.15
Poland,10.0,4.0,35,60.0,,,,1 km,,120.0,4,2
Bulgaria,20.0,4.0,"1,400",,,On,,,,,1,1
Russia,20.0,4.0,0.4,35.0,,,,,,,,
Italy,34.0,4.0,10,15.0,Not available,,,5 km,,350.0,30,
Germany,37.0,4.0,3,160.0,Not available,3,,,No,,5,0.5
Czech Republic,16.0,4.0,2.5,40.0,,,12,0.5 km,No,,,0.5
Czech Republic,10.0,4.0,,80.0,,,,,No,,,
Czech Republic,21.0,4.0,,20.0,,,,,No,,,0.1
Italy,34.0,4.0,,,,0.3,,,No,,,0.8
Italy,42.0,4.0,,,,,,,,,,
