country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Netherlands,15.0,4.0,2,50.0,,,0.5,,No,,1.5,1
Netherlands,23.0,4.0,8,300.0,Available,0.5,0.3,,No,,4,On
Germany,13.0,4.0,,,,,,,Yes,,,
Hungary,20.0,4.0,0.2,40.0,,,,On site,No,,14,0.2
Czech Republic,16.0,4.0,1,20.0,,,,,No,500.0,3,4
Germany,30.0,4.0,0.8,10.0,Not available,,,,No,,15,6
Germany,20.0,4.0,4,15.0,,,3,On site,Yes,,20,1
Hungary,44.0,4.0,1,200.0,,,1,,No,,,0.1
Germany,20.0,4.0,13,15.0,Not available,,0.4,0.5 km,No,,5,0.2
Netherlands,17.0,4.0,,,,,,,No,,,
Netherlands,16.0,4.0,0.5,,,2,,,No,1.0,8,1
Slovenia,25.0,4.0,1,21.0,Not available,,,On site,Yes,360.0,12,1.3
Russia,12.0,4.0,1,,Available,,On,,No,,30,30
Czech Republic,12.0,4.0,,20.0,,,,,,,,
Hungary,18.0,4.0,,30.0,Not available,,,On site,No,,22,1
Great Britain,25.0,4.0,,,,4.5,,,No,,,
Germany,19.0,4.0,,30.0,,,0.1,,,,6,
Italy,20.0,4.0,3,41.0,Not available,0.5,,,No,,,
France,12.0,4.0,3,66.0,Not available,,3,On site,,,15,
Italy,24.0,4.0,1,100.0,Not available,,On,,,,20,0.5
Bosnia-Herzegovina,8.0,4.0,3,200.0,Available,170,50,On site,Yes,400.0,20,On
Estonia,20.0,4.0,,30.0,,,,,No,,5,1
Italy,30.0,4.0,3,132.0,,0.3,,,,4.0,10,5
France,13.0,4.0,,,,,,On site,Yes,,,
Romania,10.0,4.0,8,50.0,Available,,,,,,,
Poland,18.0,4.0,8,,,,On,On site,No,,5,1
Turkey,17.0,4.0,4.3,10.0,Available,On,,,,,,
Italy,22.0,4.0,,100.0,Not available,,On,,Yes,,,0.8
Romania,13.0,4.0,,,,,1,6 km,,250.0,6,6
Austria,25.0,4.0,,45.0,,,5,,,,,0.05
France,12.0,4.0,0.7,6.0,Not available,,6,6 km,No,279.0,6,6
Albania,15.0,4.0,,17.0,Available,On,3,On site,,,3,0.2
Sweden,20.0,4.0,10,20.0,,,,,,,,
Croatia,19.0,4.0,,10.0,Not available,On,,,,,14,0.2
France,24.0,4.0,0.4,28.0,,,,,,100.0,,0.8
Netherlands,16.0,4.0,2,20.0,Available,,,,,,,
Russia,26.0,4.0,7,200.0,Available,,,,,,,
Portugal,20.0,4.0,1,50.0,Available,,,0.2 km,Yes,540.0,23,23
Italy,21.0,4.0,4,45.0,Not available,0.7,,,,,30,0.2
Albania,12.0,4.0,0.2,10.0,Not available,,,,,,,
Norway,26.0,4.0,2,40.0,Available,On,,,No,2.0,55,0.1
Poland,12.0,4.0,,20.0,,,On,,No,,15,15
Montenegro,25.0,4.0,5,,,77,48.3,On site,,,6,6
Germany,24.0,4.0,,70.0,Not available,,,On site,No,,12,1.3
Albania,12.0,4.0,0.2,10.0,Not available,,,,,,,
Norway,26.0,4.0,2,40.0,Available,On,,,No,2.0,55,0.1
Poland,12.0,4.0,,20.0,,,On,,No,,15,15
Montenegro,25.0,4.0,5,,,77,48.3,On site,,,6,6
Germany,24.0,4.0,,70.0,Not available,,,On site,No,,12,1.3
Germany,28.0,4.0,8,108.0,Not available,,On,,Yes,,10,1
Croatia,36.0,4.0,,70.0,Not available,On,,,No,2.0,7,
Netherlands,20.0,4.0,1.5,15.0,Not available,0.1,1,,No,,40,8
Italy,31.0,3.9,,96.0,,,On,,Yes,,1,On
Netherlands,16.0,3.9,2.6,100.0,,,On,,No,,35,2.5
Germany,23.0,3.9,2.5,105.0,,,10,,Yes,,15,0.4
Poland,15.0,3.9,5.5,62.0,,,On,On site,No,,4.2,1.5
Slovenia,24.0,3.9,4.5,,Not available,,2,On site,No,200.0,,5
Germany,23.0,3.9,18,463.0,Not available,,On,On site,Yes,295.0,13,0.5
Switzerland,37.0,3.9,2,42.0,Not available,,On,,Yes,422.0,20,0.5
Austria,24.0,3.9,3,100.0,Not available,,On,,No,560.0,10,0.6
Germany,17.0,3.9,,,Not available,,30,On site,No,85.0,7,0.5
Italy,34.0,3.9,3,145.0,,,,,Yes,1600.0,,0.25
Germany,24.0,3.9,,270.0,,,,,,,,
Germany,24.0,3.9,4.5,80.0,Available,,1.5,,Yes,550.0,20,0.5
Germany,19.0,3.9,7,320.0,Not available,On,0.6,,No,10.0,8,3.5
Austria,32.0,3.9,,40.0,Not available,,,2.5 km,No,447.0,3,0.1
Lithuania,18.0,3.9,4,150.0,Available,On,,4 km,No,5.0,20,0.2
Germany,26.0,3.9,,120.0,,,On,,,,,
Albania,10.0,3.9,4,25.0,,,,,Yes,,15,15
Italy,49.0,3.9,5,250.0,Not available,0.5,,,No,,2,0.9
Netherlands,21.0,3.9,2,144.0,Not available,0.2,,,No,,8,0.3
Switzerland,35.0,3.9,2,100.0,Not available,,3,,No,,2,0.2
Germany,32.0,3.9,1.4,100.0,Not available,,5,On site,Yes,388.0,0.5,0.5
Germany,30.0,3.9,0.7,90.0,Not available,,0.8,On site,No,140.0,On,0.2
Italy,29.0,3.9,5.5,283.0,Not available,,On,,No,,10,0.5
Germany,12.0,3.9,2,120.0,Not available,,,,Yes,630.0,4,0.3
Italy,24.0,3.9,3,100.0,Not available,,,,No,200.0,10,1
France,22.0,3.9,1.9,68.0,Not available,15,,0.5 km,No,,5,0.5
Germany,20.0,3.9,25,397.0,Not available,On,,,No,,5,6
Germany,25.0,3.9,3,150.0,,,On,3 km,No,,3,6
Austria,27.0,3.9,2,35.0,,,On,,Yes,,,
Spain,26.0,3.9,3.2,750.0,,1,,,,,22,1
Germany,15.0,3.9,,100.0,Not available,,On,,No,80.0,6,6
France,18.0,3.9,,,Not available,,0.5,,No,,,1
France,35.0,3.9,3.3,200.0,,On,1,,,,5,0.2
Germany,25.0,3.9,0.5,25.0,Not available,,,,No,,14,0.3
