country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Italy,21.0,4.6,,110.0,,,On,,,,,
Denmark,32.0,4.6,7,280.0,Available,On,,,,30.0,45,0.5
Netherlands,21.0,4.6,1,80.0,Not available,,4,On site,No,,On,0.5
Netherlands,28.0,4.6,12,375.0,Not available,,10,1.5 km,No,,24,1.5
Austria,29.0,4.6,1,16.0,Not available,,On,5 km,No,,10,5
Netherlands,31.0,4.6,5,30.0,,On,,,No,,2,0.5
Sweden,30.0,4.6,5,78.0,Not available,,On,,,,,
Sweden,23.0,4.6,3,76.0,Not available,,On,,No,70.0,40,10
Switzerland,26.0,4.6,,,,,10,On site,Yes,625.0,30,0.1
France,15.0,4.6,,,,,,,No,,,On
France,25.0,4.6,4.6,160.0,,On,,,No,,15,0.2
Sweden,23.0,4.6,,120.0,,,,0.9 km,,,1,0.1
Switzerland,39.0,4.6,1,40.0,Not available,,1.5,,Yes,1050.0,14,0.3
Germany,20.0,4.6,1.8,125.0,Available,,0.5,,No,480.0,10,1
Poland,12.0,4.6,1,,,,,,,,On,On
Hungary,18.0,4.6,2.5,200.0,,,On,,Yes,,10,0.1
Bulgaria,17.0,4.6,0.6,61.0,Not available,On,,0.05 km,No,10.0,10,2
Denmark,33.0,4.6,3,160.0,Not available,0.6,3,1 km,No,,14,0.1
Denmark,21.0,4.6,7,250.0,,On,,,,,30,3
Great Britain,17.0,4.6,,,,,,,No,,,On
France,25.0,4.6,3.5,93.0,,,,On site,No,,10,15
Netherlands,18.0,4.6,4,105.0,,,10,10 km,No,,4,4
Switzerland,18.0,4.6,0.29,35.0,,,On,,No,,11,1
Germany,28.0,4.6,3,25.0,Not available,,,,Yes,780.0,,0.5
Czech Republic,20.0,4.6,15,48.0,,,2,,Yes,400.0,7,0.05
Germany,26.0,4.6,4,40.0,Not available,,4,0.2 km,No,,1,0.5
Germany,22.0,4.6,3,80.0,Available,,On,,No,,10,4
Italy,21.0,4.6,,,,,On,,No,,,On
Germany,28.0,4.6,9,430.0,Not available,,On,,No,440.0,,1.5
Croatia,13.0,4.6,4,100.0,,0.5,,,No,,15,0.2
Czech Republic,16.0,4.6,1,25.0,,,,,Yes,,1,1
Italy,26.0,4.6,,67.0,,,On,,Yes,,55,3
Denmark,32.0,4.6,"28,000",190.0,,On,,,No,,30,0.1
Denmark,31.0,4.6,"23,000",165.0,Not available,0.2,,,No,,0.5,0.1
Great Britain,16.0,4.6,1,40.0,,,,3 km,No,,5,3
Great Britain,26.0,4.6,3,60.0,Not available,,,,No,,8,4
France,13.0,4.6,1,50.0,Not available,,,On site,No,,24,0.3
France,20.0,4.6,62,504.0,,,,On site,No,,,
France,30.0,4.6,1,62.0,,On,,,No,,6,1
Sweden,20.0,4.6,5,50.0,,,,,,,,
Switzerland,29.0,4.6,,110.0,Not available,,,,Yes,,60,0.5
Hungary,18.0,4.6,4,120.0,Not available,,,,No,,6,0.5
Hungary,20.0,4.6,1.4,40.0,Available,6,3,,Yes,350.0,3,0.6
Hungary,20.0,4.6,1.3,20.0,Not available,,23,45 km,No,132.0,10,2
Spain,34.0,4.6,1,65.0,Not available,0.3,,,No,21.0,1,0.1
Switzerland,41.0,4.6,0.65,35.0,Available,,31,On site,No,417.0,2,1
Switzerland,35.0,4.6,,150.0,,,,,,,,
Italy,37.0,4.6,,,,0.3,,,No,,,On
Turkey,14.0,4.6,0.5,,,On,,On site,,,145,5
Germany,22.0,4.6,1,25.0,Not available,,1,1 km,Yes,400.0,1,2
Germany,15.0,4.6,,10.0,Available,1,1,2 km,No,5.0,,0.2
Switzerland,34.0,4.6,,,,,On,,Yes,,,On
Germany,20.0,4.6,6,12.0,Not available,,On,On site,Yes,450.0,5,2
Sweden,42.0,4.6,3,35.0,Not available,,On,On site,No,60.0,40,3
Poland,8.0,4.6,8.5,900.0,Not available,,On,On site,Yes,535.0,14,1
Germany,12.0,4.6,,60.0,Not available,,0.2,,No,,10,0.2
Croatia,10.0,4.6,,7.0,Available,,,,,,,
Slovenia,25.0,4.6,0.5,15.0,Available,45,,,Yes,540.0,2,2
Austria,23.0,4.6,,76.0,,,,,,,,0.2
Slovenia,25.0,4.6,0.5,15.0,Available,45,,,Yes,540.0,2,2
Austria,23.0,4.6,,76.0,,,,,,,,0.2
Bulgaria,17.0,4.5,2,40.0,Not available,,1,0.5 km,,360.0,4,0.1
Netherlands,32.0,4.5,,360.0,Not available,,,,,,,
Bosnia-Herzegovina,15.0,4.5,,10.0,,,,On site,No,,12,0.1
Italy,19.0,4.5,2,160.0,Not available,,On,1 km,Yes,480.0,18,1.5
Germany,20.0,4.5,4,,Not available,,,On site,No,,15,0.5
Poland,15.0,4.5,1.5,150.0,,0.35,0.3,On site,No,,,
Romania,15.0,4.5,,10.0,,,,On site,Yes,830.0,40,0.9
Norway,25.0,4.5,2,80.0,Not available,,,0.1 km,No,,60,0.3
Switzerland,34.0,4.5,0.5,40.0,Not available,,15,0.4 km,Yes,1697.0,15,0.1
Austria,24.0,4.5,1,45.0,Not available,,,,Yes,,15,0.3
Germany,23.0,4.5,3.4,75.0,Not available,,On,,No,,6,0.2
Germany,25.0,4.5,3.5,110.0,Not available,,8,On site,,,1,1
Netherlands,38.0,4.5,9.5,340.0,Not available,2,2,,No,,8,0.8
Switzerland,35.0,4.5,3.6,240.0,Not available,,On,,No,430.0,,1
Netherlands,23.0,4.5,5,200.0,Not available,On,2,,No,,15,3
Germany,18.0,4.5,3,80.0,Not available,,0.3,,No,274.0,30,2.5
Switzerland,47.0,4.5,33,230.0,Not available,,,0.5 km,No,,8,0.3
Greece,22.0,4.5,12,42.0,,,,,No,,8,
Netherlands,22.0,4.5,0.5,25.0,Not available,40,On,,No,,1,4
France,18.0,4.5,14,300.0,Not available,,,,,,,
Belgium,20.0,4.5,4,297.0,,0.3,,,No,,5,0.3
Belgium,20.0,4.5,4,297.0,,0.3,,,No,,5,0.3
Croatia,23.0,4.5,0.26,26.0,Not available,75,0.2,5 km,Yes,323.0,4,4.5
Netherlands,48.0,4.5,,250.0,Not available,,,,,,,
Greece,23.0,4.5,25,100.0,Not available,On,,,,,17,0.5
Croatia,14.0,4.5,1,20.0,Not available,,,,,,,
Denmark,30.0,4.5,5,50.0,Not available,,On,On site,,,15,1
Netherlands,19.0,4.5,5,150.0,,,3,On site,No,,6,1
Portugal,15.0,4.5,2.5,,,0.4,5,,,,15,
Switzerland,28.0,4.5,,80.0,,,,,,,,
Germany,25.0,4.5,2,110.0,Available,,,On site,No,271.0,3,0.2
Hungary,21.0,4.5,2,120.0,,,,,No,100.0,,2
Germany,12.0,4.5,,280.0,,,,,,65.0,,
Poland,17.0,4.5,1.7,150.0,,On,1,,No,,,
Spain,31.0,4.5,2,181.0,,On,,On site,No,,30,1
Great Britain,22.0,4.5,,,,13,2,,No,,,
Germany,21.0,4.5,7,300.0,Not available,0.4,,,,4.0,7,2
Estonia,20.0,4.5,5,70.0,Not available,On,15,2 km,,,8,1
Italy,38.0,4.5,1.3,60.0,,On,,On site,No,,7,7
Denmark,28.0,4.5,3,145.0,Available,On,4,,,3.0,15,1
France,30.0,4.5,3,152.0,Not available,60,2,,No,60.0,25,1
Slovenia,23.0,4.5,,50.0,,,,,,,,
