country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
France,32.0,,1,,,,,On site,,,,0.2
France,26.0,,,,Not available,On,,,,,4,
France,44.0,,,100.0,,1.5,,,No,,2,0.3
France,29.0,,3,110.0,Not available,25,9,,No,,4,1
France,22.0,,,347.0,Not available,,,,,,,
France,30.0,,3,110.0,,4,0.5,0.8 km,No,,7,7
France,27.0,,,90.0,Not available,11,3,On site,,,11,
France,19.0,,1.5,38.0,,,,On site,,,3,
France,18.0,,,,,,On,,No,,,On
France,16.0,,12,513.0,Not available,,On,On site,No,330.0,12,0.8
France,19.0,,2.2,75.0,Not available,,10,On site,Yes,,15,0.07
France,20.0,,,,,,On,On site,Yes,,,On
France,33.0,,11,163.0,Not available,,,On site,Yes,,63,1.5
France,22.0,,1,29.0,,,25,10 km,Yes,,10,10
France,17.0,,,,,,5,On site,No,,,On
France,20.0,,40,98.0,,,On,On site,No,150.0,12,12
France,23.0,,1,50.0,Not available,,,On site,Yes,,15,1
France,21.0,,2,60.0,Not available,240,10,1 km,No,430.0,6,0.2
France,30.0,,7,71.0,Not available,,,2 km,,,,
France,21.0,,3,49.0,,,,On site,,300.0,15,5
France,23.0,,5,108.0,Available,,,,,,,
France,24.0,,3.7,70.0,,,,0.7 km,,,,3.5
France,21.0,,1.5,26.0,Not available,,,On site,No,234.0,12,2
Netherlands,27.0,,5.5,175.0,,,,,,,,
Netherlands,18.0,,,100.0,Available,,,8 km,No,,6,1.5
Netherlands,25.0,,0.7,4.0,,4.5,,,No,,3,
Netherlands,14.0,,6,198.0,Not available,,,,No,,17,0.8
Netherlands,19.0,,,,Not available,,,,No,12.0,20,2.1
Netherlands,22.0,,80,,,,,,,12.0,17,0.7
Netherlands,19.0,,,,Not available,,,,,21.0,25,3.1
Netherlands,19.0,,100,,Not available,,On,,No,22.0,16.5,2.2
Netherlands,22.0,,0.5,30.0,Not available,,1,,No,,15,4
Netherlands,25.0,,0.8,,,,14,20 km,,,14,0.5
Netherlands,22.0,,10,220.0,Not available,,5,2 km,No,,15,2
Netherlands,23.0,,4.2,55.0,Available,,10,1 km,No,6.0,10,2.6
Belgium,20.0,,2.5,50.0,Not available,,,,,,,
Belgium,19.0,,5,180.0,Available,,5,On site,No,350.0,5,0.1
Spain,43.0,,,,Not available,0.3,,,Yes,50.0,45,1.5
Spain,38.0,,2.5,245.0,Not available,1,,,,,0.01,0.5
Spain,39.0,,6,120.0,Not available,,,,,,,
Spain,32.0,,2,133.0,Not available,,On,,Yes,957.0,160,1
Spain,24.0,,,,Not available,0.05,,On site,No,,2.5,2.5
Spain,27.0,,2,60.0,Not available,60,30,0.5 km,Yes,,15,10
France,25.0,,3.4,170.0,,On,On,,No,,,
France,19.0,,1,60.0,Not available,On,,,,,,0.1
France,22.0,,4,20.0,,0.7,,,,70.0,,
Netherlands,18.0,,1.2,20.0,Not available,,0.5,,No,,6,2
France,21.0,,2.5,25.0,,,6,1 km,,730.0,9,2
Belgium,28.0,,,,Not available,,,,,,,
France,18.0,,4,179.0,Not available,10,1,,No,,4,1
France,20.0,,1.5,31.0,Not available,,4,On site,Yes,1020.0,27,12
France,17.0,,2,145.0,Available,On,,,No,,6,6
France,24.0,,,,,60,3,,No,,,
Netherlands,24.0,,6,208.0,Not available,,20,,No,,15,1.5
France,18.0,,4.5,80.0,Not available,,On,,No,,,
France,20.0,,13,200.0,Not available,5,On,,No,,20,
France,18.0,,3.5,164.0,Available,10,3,On site,,,7,1
France,19.0,,5.4,210.0,Not available,14,On,On site,No,,30,
Netherlands,18.0,,12,93.0,Not available,,5.5,,No,,29,1.8
Netherlands,23.0,,20,43.0,Not available,,,,No,,17,2
France,21.0,,,141.0,Not available,,,,,,,
Italy,25.0,,2,20.0,Not available,,,,,,,
Netherlands,18.0,,,20.0,Not available,,,,No,,,2
Netherlands,21.0,,1.5,25.0,,,1,1 km,No,,1.5,0.5
France,18.0,,6,193.0,,,On,,No,,35,1
Czech Republic,17.0,,1,36.0,Not available,,,On site,No,362.0,4,0.4
France,18.0,,1.5,4.0,Not available,,,2 km,No,422.0,5,13
Croatia,54.0,,2,9.0,Not available,7,,,No,,2,2
France,23.0,,3,20.0,,,,,,,3,
Netherlands,22.0,,6.5,8.0,,,,,,,3,0.5
France,23.0,,0.7,8.0,,,,,Yes,,,
Czech Republic,20.0,,1.5,13.0,,,,0.1 km,,,,0.2
Italy,24.0,,11,50.0,Available,,,On site,Yes,680.0,75,0.5
Italy,26.0,,2,29.0,,,0.1,On site,,,,
Netherlands,18.0,,1.5,30.0,,1.5,,On site,,,,
Italy,25.0,,,21.0,Available,3,,,No,90.0,3,1
France,20.0,,1,80.0,,,,,,,,
France,26.0,,13,200.0,,,,0.1 km,,,,
Italy,18.0,,1.6,52.0,,,On,,,,,
France,15.0,,10,2.0,,,,,,,,
Netherlands,19.0,,3.5,9.0,,,On,,,,,
France,19.0,,3.7,71.0,,,,,,250.0,,
Netherlands,15.0,,27,180.0,,,,,,,,
Estonia,22.0,,5,,,3,,On site,,10.0,,0.1
Spain,26.0,,1.5,14.0,,,,,,700.0,,
Hungary,25.0,,1,5.0,,,8,6 km,,,8,0.4
Great Britain,36.0,,7,117.0,,,On,,No,5.0,,0.5
France,17.0,,7,41.0,,,On,,,300.0,,
Croatia,23.0,3.8,4.7,303.0,Not available,On,,,No,,5,5
Croatia,21.0,3.7,11,458.0,Available,On,,,No,,9,11
Croatia,21.0,3.6,4,196.0,Available,On,,,No,18.0,10,10
Croatia,21.0,3.5,4,282.0,Available,On,,20 km,No,,5,1
Croatia,24.0,1.8,11,156.0,Available,On,,,No,,1,0.2
Croatia,35.0,4.5,,18.0,Available,,,,No,,1,0.5
Croatia,18.0,4.4,1,13.0,Not available,On,,,,,,
Croatia,19.0,4.4,0.9,40.0,Not available,On,,,No,10.0,4,4
Hungary,20.0,3.9,20,350.0,Not available,,On,,No,100.0,4,1.5
Croatia,16.0,3.8,3.5,100.0,,0.5,15,,No,,15,0.5
Croatia,22.0,3.7,3.5,184.0,Not available,On,20,,No,,20,1
Croatia,25.0,3.6,1.3,77.0,Not available,On,,,,,10,
Croatia,30.0,3.0,1,70.0,Not available,On,,,No,5.0,On,0.7
Croatia,17.0,2.5,75,200.0,Available,On,13,20 km,No,,10,1
Germany,22.0,5.0,1,5.0,Not available,0.5,,,No,1.0,7,0.2
Austria,31.0,5.0,1,49.0,,,20,2 km,No,360.0,50,5
Montenegro,24.0,5.0,1,20.0,Not available,10,,,Yes,310.0,10,1
Germany,20.0,5.0,3,20.0,Not available,,5,5 km,,327.0,16,3
Italy,43.0,4.9,0.9,50.0,Not available,,,,Yes,528.0,14,0.2
Serbia,22.0,4.9,0.5,44.0,Available,,,5 km,No,82.0,7,1
Austria,29.0,4.9,0.5,15.0,Not available,,15,4 km,Yes,1150.0,15,4
Germany,24.0,4.9,0.5,20.0,Not available,,,,Yes,300.0,5,0.5
Bosnia-Herzegovina,15.0,4.9,0.4,40.0,,57,30,On site,,,,0.4
Bosnia-Herzegovina,20.0,4.9,,45.0,Available,60,,On site,,,,2
Germany,32.0,4.9,0.4,11.0,Not available,,3,On site,No,300.0,6,On
Germany,25.0,4.9,2,100.0,Available,,,On site,No,40.0,19,3
Germany,31.0,4.9,1.5,85.0,Not available,,1.2,,,650.0,12,2
Switzerland,39.0,4.9,0.84,60.0,Not available,,0.5,,Yes,620.0,5,0.4
Italy,26.0,4.9,1,38.0,,,,0.05 km,Yes,700.0,20,0.08
Germany,28.0,4.9,2.5,70.0,Not available,,,1 km,Yes,265.0,15,4
Germany,32.0,4.8,4,170.0,Available,70,,On site,No,4.0,4,0.5
Germany,27.0,4.8,2.5,110.0,,,2,,Yes,860.0,15,0.1
Netherlands,28.0,4.8,68,995.0,Not available,,On,,No,,25,2
