country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
France,12.0,5.0,,25.0,,,,,,,15,
France,14.0,5.0,1,30.0,,,,,No,,6,6
France,21.0,5.0,,,,,0.5,,No,,,
France,25.0,5.0,1,47.0,Not available,,,,No,,,
France,13.0,5.0,,100.0,,,,,,,,
France,45.0,5.0,200,700.0,,15,On,,No,,7,7
France,17.0,5.0,4,60.0,,2,,,No,,5,2
France,19.0,5.0,,65.0,,On,,,No,,5,5
France,19.0,5.0,,65.0,,On,,,No,,5,5
France,19.0,5.0,2,90.0,,On,,,No,,0.8,0.8
France,11.0,5.0,1.5,40.0,,,On,0.5 km,,,,1
France,13.0,5.0,2,100.0,,,,,,,,
France,27.0,5.0,5,130.0,,7,,1 km,No,,8,
France,30.0,5.0,4,,Available,,,,,,,
France,17.0,5.0,1,25.0,Not available,,,,,300.0,30,5
France,13.0,5.0,,,Not available,,,On site,No,,,
France,13.0,5.0,,,Not available,,,,No,,,
France,18.0,5.0,,,,,On,2.5 km,,,,On
France,18.0,5.0,1.8,45.0,Not available,3,25,1 km,,77.0,5,3
France,32.0,5.0,3,92.0,,40,,3 km,No,,10,1
France,19.0,5.0,3,28.0,Not available,70,,10 km,,,7,1
France,19.0,5.0,20,6.0,,,,On site,Yes,,,
France,37.0,5.0,4.5,135.0,,On,,On site,No,,5,3
France,37.0,5.0,4.5,135.0,,On,,On site,No,,5,3
France,25.0,5.0,15,25.0,,80,5,2 km,Yes,,25,4
France,21.0,5.0,4,30.0,Not available,25,11,15 km,No,280.0,11,5
France,20.0,5.0,50,200.0,Not available,22,,,,150.0,7,2
France,23.0,5.0,4,30.0,,,On,,,,45,
France,16.0,5.0,2.5,25.0,Not available,,25,,No,,4,4
France,15.0,5.0,4,29.0,,,,3 km,,,10,18
France,24.0,5.0,15,55.0,Not available,,On,On site,Yes,374.0,10,10
France,20.0,5.0,7,9.0,Not available,,3,1 km,,350.0,30,
France,12.0,5.0,,,,,,0.3 km,No,,,0.2
France,16.0,5.0,,,,,On,On site,No,,,
France,13.0,5.0,2,25.0,,,10,20 km,,,25,On
France,14.0,5.0,,,,,,On site,No,,,0.5
France,14.0,5.0,,,,,,4 km,No,,,4
France,13.0,5.0,,,,,,On site,No,,,
France,26.0,5.0,5,80.0,,,10,,Yes,,1,
France,23.0,5.0,10,60.0,Not available,,,6 km,No,280.0,15,15
France,21.0,5.0,,,,,,On site,Yes,,,
France,18.0,5.0,5.5,101.0,,,On,12 km,,,40,7
France,27.0,5.0,4,190.0,,,,On site,,,12,1
France,21.0,5.0,3,74.0,Not available,,,On site,,,20,
France,13.0,5.0,,,,,,On site,No,,,0.5
France,20.0,5.0,2,34.0,Not available,,10,10 km,No,150.0,10,15
France,42.0,5.0,140,600.0,,,On,2 km,No,,35,4
