country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Germany,27.0,3.6,6,400.0,Not available,,On,1 km,No,,13,1
Hungary,19.0,3.6,3,200.0,Not available,,On,,No,,2,0.2
Greece,25.0,3.6,,97.0,,On,,,,,3,
Lithuania,20.0,3.6,3,20.0,,,On,1 km,No,,On,0.3
Croatia,25.0,3.6,,50.0,,0.02,,,,,,
Spain,23.0,3.6,,,,On,,On site,No,,22,3
Italy,40.0,3.6,1.5,,,On,,,No,,40,0.1
France,20.0,3.6,3,90.0,,,,,,,,
Germany,19.0,3.6,,25.0,Not available,,1,,No,,6,0.5
Italy,42.0,3.6,5,300.0,Not available,0.2,,,,,On,0.3
Denmark,40.0,3.6,6.2,279.0,,,,,,,,
France,47.0,3.6,12,350.0,Not available,,On,4 km,,,25,25
Germany,20.0,3.6,5,100.0,Not available,,2,0.5 km,No,68.0,12,0.5
Germany,13.0,3.6,,150.0,,,On,,No,,8,0.8
Germany,22.0,3.6,3,133.0,,,,,,,,
Spain,32.0,3.6,,,,On,,,No,,9,9
Germany,15.0,3.6,2.3,20.0,Not available,,0.5,1.5 km,Yes,500.0,8,On
Denmark,28.0,3.6,,130.0,,,,On site,No,,1.5,0.2
Denmark,28.0,3.6,,,,0.2,,,No,,,
Switzerland,29.0,3.6,8,280.0,Not available,,0.2,,No,,10,0.1
Germany,27.0,3.6,7,250.0,Available,,,1 km,Yes,,1,0.5
Hungary,27.0,3.6,1,128.0,Available,,5,,No,,45,0.5
Switzerland,32.0,3.6,30,250.0,,,7,On site,No,,7,0.5
Germany,13.0,3.6,,145.0,Not available,,On,,No,,,On
Netherlands,29.0,3.6,30,500.0,Not available,,On,On site,No,,8,1.5
Switzerland,30.0,3.6,,170.0,Not available,,On,On site,Yes,,45,1
Germany,24.0,3.6,2,70.0,Not available,,6,,Yes,560.0,9,0.5
Spain,31.0,3.6,60,265.0,,On,,,No,,23,0.5
Germany,34.0,3.6,1,50.0,Not available,,,On site,,,1,1
Italy,27.0,3.6,3,156.0,,,On,,,,,0.2
Netherlands,28.0,3.6,,,Not available,,,,,,3,
Sweden,25.0,3.6,,491.0,Not available,On,15,,No,1.0,1,1
Belgium,19.0,3.6,3,70.0,,,On,2 km,No,,4,0.5
Greece,31.0,3.6,120,,Available,On,,,,,70,On
Lithuania,16.0,3.6,14,30.0,,,0.1,,No,,30,0.2
Germany,19.0,3.6,25,475.0,,,,On site,,,,
Italy,44.0,3.6,,350.0,,0.5,,,No,,1,2
Italy,38.0,3.6,,400.0,,On,,,No,,1,On
Italy,37.0,3.6,,250.0,,,,,,,,
Great Britain,22.0,3.6,,,,,,,No,,,On
Great Britain,18.0,3.6,,15.0,,,,,,,,
France,31.0,3.6,,190.0,,,On,,No,,20,5
Netherlands,19.0,3.6,4.5,200.0,Not available,,On,,No,,3,0.2
Sweden,19.0,3.6,,78.0,,80,On,,No,,25,1
Germany,18.0,3.6,,104.0,Not available,,,,,,,
Germany,14.0,3.6,,80.0,Available,,,On site,,249.0,On,On
Greece,23.0,3.6,2,,,On,,,No,,13,0.1
Switzerland,33.0,3.6,,30.0,,,,,,402.0,,
Iceland,24.0,3.6,2,,,,,,No,100.0,136,On
Germany,17.0,3.6,1,50.0,,,,0.1 km,Yes,,12,0.2
Italy,26.0,3.6,2,35.0,,90,100,6 km,,460.0,3,0.2
Albania,14.0,3.6,1,40.0,Available,0.14,,,No,50.0,,2
Germany,11.0,3.6,8,40.0,,,On,,Yes,,,On
Spain,16.0,3.6,5,220.0,Available,On,,,,,10,1
Denmark,30.0,3.6,,,,1,,,No,,,1
France,22.0,3.6,26,210.0,,,,On site,,,30,
France,23.0,3.6,1.2,45.0,Not available,300,50,7 km,No,230.0,7,0.1
Netherlands,23.0,3.6,2.5,125.0,Not available,On,,,No,,10,0.3
Switzerland,39.0,3.6,0.8,60.0,Not available,,,On site,Yes,1020.0,40,0.2
Belgium,23.0,3.6,2.5,212.0,,On,,,,,,0.2
Germany,16.0,3.6,5.6,120.0,,,On,,No,,13,2
Germany,22.0,3.6,,,,,,,No,,,On
Austria,23.0,3.6,1,80.0,Not available,,,On site,Yes,600.0,35,35
Norway,29.0,3.6,1.4,100.0,Not available,On,,0.5 km,No,1.0,,0.1
Spain,24.0,3.6,,189.0,,0.15,,,No,,On,0.1
France,53.0,3.6,,85.0,Not available,On,,,,,4,0.2
Austria,11.0,3.6,0.034,15.0,,,,1 km,Yes,476.0,20,1.3
Montenegro,16.0,3.6,1,,,50,25,0.1 km,,,5,6
Croatia,24.0,3.6,2.3,11.0,Available,,,,,,,
Romania,10.0,3.6,0.2,,Available,,,,,,On,On
Germany,18.0,3.5,,140.0,,,,,,,,
Switzerland,37.0,3.5,,140.0,Not available,,,,,,,
Germany,22.0,3.5,1.2,100.0,Not available,,On,,No,700.0,0.7,0.2
Italy,26.0,3.5,5,110.0,Not available,,25,,No,404.0,6,1.5
