country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Great Britain,30.0,3.0,13,150.0,Not available,,,,,,,
Great Britain,26.0,3.0,32,450.0,,4,On,2 km,No,,2,1
Great Britain,10.0,3.0,,,,,,On site,No,,,
France,18.0,3.0,,,,,On,On site,No,,,On
France,24.0,3.0,,,,,,,,,,
France,13.0,3.0,,47.0,,,,On site,No,,4,4
France,15.0,3.0,,,,,,,No,,,
France,14.0,3.0,,,,,,On site,No,,,On
France,21.0,3.0,1.5,62.0,Not available,,,On site,No,,20,0.5
France,25.0,3.0,2,100.0,,18,On,,,,,
France,20.0,3.0,6,202.0,Not available,4,On,10 km,No,,10,2
France,21.0,3.0,5,96.0,,55,15,7 km,No,,2,7
France,11.0,3.0,,60.0,,,On,,No,,,1
France,13.0,3.0,2,147.0,,,20,On site,Yes,,50,
France,16.0,3.0,,194.0,,,,,Yes,,1.5,0.8
France,25.0,3.0,4,180.0,,0.3,,,,,14,14
France,21.0,3.0,2.8,80.0,Not available,On,,,,,5,1
France,21.0,3.0,3,90.0,,On,,,No,,,
France,16.0,3.0,,90.0,,8,,,No,,10,3
France,20.0,3.0,2.6,25.0,Not available,20,,,,,,
France,29.0,3.0,4,100.0,Not available,,1,1 km,No,,1,5
France,19.0,3.0,,,,,,,,,,
France,14.0,3.0,,,,,,,No,,,0.3
France,32.0,3.0,,,,3,,3 km,,,,
France,25.0,3.0,3.5,115.0,Not available,,,,,,,
France,22.0,3.0,,,Not available,,,On site,No,,,0.5
France,15.0,3.0,2,70.0,Not available,25,,On site,No,81.0,1.5,2
France,15.0,3.0,,199.0,,,,,No,,,On
France,23.0,3.0,3,123.0,Not available,200,20,0.1 km,Yes,550.0,9,
France,16.0,3.0,4,78.0,Not available,100,On,1 km,Yes,550.0,25,3
France,30.0,3.0,0.6,40.0,Not available,20,20,,No,,5,5
France,21.0,3.0,3,70.0,,30,20,On site,No,,4,4.5
France,23.0,3.0,2,80.0,,,,On site,No,,,
France,16.0,3.0,,,,1.6,,,,,1.5,2
France,15.0,3.0,20,20.0,,,,,Yes,,30,5
France,10.0,3.0,,,,,8,,Yes,,,
France,20.0,3.0,4,129.0,Not available,,2,On site,Yes,710.0,4,4
France,26.0,3.0,3,95.0,Not available,,,0.2 km,No,350.0,,
France,16.0,3.0,,,,,,1 km,No,,,On
France,15.0,3.0,1.6,44.0,Not available,,,,,,,
France,19.0,3.0,4.9,180.0,Not available,,0.5,On site,No,,12,0.3
France,12.0,3.0,,,,,,0.3 km,No,,,0.3
France,9.0,3.0,1,68.0,,,,On site,,,,
France,22.0,3.0,6,222.0,Not available,,,,No,,,
France,20.0,3.0,3.7,85.0,Available,7,On,On site,No,,6,2
France,32.0,3.0,14,295.0,,7,,,No,,15,15
France,22.0,3.0,9,385.0,,,,,No,,4,
France,20.0,3.0,4,100.0,,12,,,No,,10,10
France,27.0,3.0,1.36,100.0,Not available,0.93,,,No,,On,On
France,18.0,3.0,2,82.0,Not available,13,2,,No,,0.5,0.5
France,37.0,3.0,18,850.0,,On,,,,,16,1
France,18.0,3.0,6,280.0,Available,,2,0.4 km,Yes,,4,4
France,15.0,3.0,,,,,,On site,Yes,,,
France,19.0,3.0,,,,100,3,1.5 km,Yes,735.0,50,1.5
France,21.0,3.0,1,80.0,Not available,90,10,0.5 km,,530.0,0.5,0.5
France,27.0,3.0,2,40.0,,18,,5 km,No,,8,0.5
France,20.0,3.0,3,100.0,Not available,28,5,On site,No,,10,
France,24.0,3.0,,,,1,,,No,,,On
France,16.0,3.0,,,,,,,Yes,,,On
France,50.0,3.0,10,451.0,,2.5,1,On site,No,,5,0.2
France,23.0,3.0,3,77.0,,60,20,1.3 km,No,,8,8
France,19.0,3.0,,,Not available,,1,0.3 km,Yes,,,0.25
France,15.0,3.0,,120.0,,,On,,Yes,,,
France,17.0,3.0,,,,,,,No,,,0.8
France,14.0,3.0,,,Not available,,0.1,,Yes,,,On
France,17.0,3.0,,,Not available,,0.1,On site,No,,,On
France,22.0,3.0,4,66.0,,,,,,,,
France,16.0,3.0,,,,,,,No,,,
France,19.0,3.0,2,80.0,,,,,Yes,,40,
France,22.0,3.0,,,,,On,,Yes,,,On
France,33.0,3.0,14,170.0,,,On,On site,No,,6,
France,20.0,3.0,2.5,100.0,Not available,,,On site,Yes,270.0,15,1
France,30.0,3.0,14,180.0,Not available,,,On site,,,10,10
France,16.0,3.0,,65.0,,,,,,,,
France,18.0,3.0,1,25.0,,,,,,,,
France,48.0,3.0,16,,Not available,,,3 km,No,,,2
