country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Austria,29.0,4.8,3.0,50.0,Not available,,,On site,No,300.0,6,0.2
Germany,24.0,4.8,12.0,310.0,Available,,On,0.5 km,No,355.0,2.5,0.6
Poland,17.0,4.8,4.5,200.0,Not available,On,20,5 km,No,38.0,2,0.1
Austria,28.0,4.8,1.5,65.0,Not available,,On,,Yes,960.0,7,1
Germany,33.0,4.7,11.0,250.0,Available,140,15,5 km,No,81.0,5,1
Germany,34.0,4.7,5.0,194.0,Not available,,,1 km,No,339.0,0.5,On
Germany,29.0,4.7,10.0,300.0,Available,,On,,No,450.0,3,2
Germany,32.0,4.7,4.0,60.0,Not available,,20,0.1 km,Yes,320.0,5,0.4
Netherlands,19.0,4.7,16.5,175.0,Not available,140,On,On site,No,24.0,4,2.5
Italy,26.0,4.7,7.0,350.0,Not available,,On,,No,80.0,25,0.5
Italy,33.0,4.7,3.0,214.0,Not available,,4,0.1 km,Yes,1300.0,5,0.2
Denmark,34.0,4.7,18.4,595.0,Available,On,4,,No,8.0,25,0.1
Austria,25.0,4.7,1.3,55.0,Not available,,On,6 km,No,580.0,6,2
Germany,31.0,4.7,4.0,140.0,Available,,,,Yes,220.0,0.1,0.2
Austria,32.0,4.6,3.5,200.0,Not available,,On,,Yes,580.0,4,0.5
Germany,33.0,4.6,30.0,805.0,Not available,On,,,No,,13,1
Germany,36.0,4.6,35.0,500.0,Not available,,On,,No,99.0,8,
Germany,26.0,4.6,3.0,150.0,Not available,,1,,No,287.0,8,1
Germany,39.0,4.6,9.0,600.0,Not available,,On,0.3 km,No,531.0,15,2.5
Spain,29.0,4.6,7.0,426.0,Not available,On,30,2 km,No,,25,3
Germany,28.0,4.6,40.0,800.0,Not available,On,,,No,1.0,8,4
Denmark,30.0,4.6,2.0,103.0,Available,On,4,,No,3.0,28,3
Germany,21.0,4.6,3.5,155.0,Not available,,20,,Yes,250.0,2,0.2
Germany,32.0,4.5,8.0,310.0,Not available,,On,,No,99.0,3,
Italy,23.0,4.5,120.0,1000.0,Not available,On,,,No,,40,On
Germany,23.0,4.5,9.0,250.0,Not available,,0.15,8 km,No,,18,1
Germany,36.0,4.5,6.0,240.0,Not available,,On,20 km,No,60.0,15,3
Italy,34.0,4.5,11.5,282.0,Available,,On,,No,109.0,30,2
Italy,22.0,4.5,5.0,150.0,Not available,On,,1.5 km,No,,1.5,1.5
Switzerland,35.0,4.5,4.0,220.0,Not available,,3,On site,Yes,1000.0,35,On
Germany,18.0,4.4,34.0,752.0,Not available,On,On,,No,,5,0.1
Italy,40.0,4.4,1.7,110.0,Available,,,,Yes,280.0,8,0.2
Germany,40.0,4.4,10.0,256.0,Not available,,7,,No,435.0,1,1
Germany,22.0,4.4,24.0,390.0,Available,,On,On site,No,,8,0.5
Germany,18.0,4.4,5.0,250.0,Available,On,,,No,30.0,0.9,0.9
Austria,25.0,4.4,2.0,198.0,Not available,,On,,Yes,,10,0.4
Germany,25.0,4.4,10.0,410.0,Not available,20,On,1 km,No,,10,2
Switzerland,45.0,4.4,150.0,707.0,Not available,,On,On site,,196.0,5,1
Germany,23.0,4.4,20.0,100.0,Not available,,,,No,220.0,5,0.5
Germany,29.0,4.4,14.0,600.0,Not available,On,,,No,,8,4
Germany,22.0,4.4,4.2,100.0,Not available,,On,,No,,18,1
Germany,23.0,4.4,3.6,150.0,Not available,,On,,No,,3,1
Germany,35.0,4.4,7.5,365.0,Available,,28,4 km,No,620.0,2,0.8
Germany,27.0,4.4,15.0,250.0,Not available,,On,On site,Yes,,12,1
Italy,53.0,4.3,60.0,2931.0,,On,,2 km,No,,5,On
Austria,49.0,4.3,7.0,327.0,Available,,1,,Yes,820.0,10,0.2
Germany,22.0,4.3,7.0,150.0,Available,,On,,No,34.0,1,2
Italy,25.0,4.3,6.0,242.0,Not available,,On,,,,8,1
Italy,23.0,4.3,2.8,130.0,Not available,1.8,,,,,5,0.8
Germany,35.0,4.2,6.0,300.0,,,30,On site,Yes,480.0,9,3
Germany,25.0,4.2,19.0,419.0,Not available,,On,,No,36.0,9,1
Netherlands,35.0,4.2,32.0,350.0,Not available,,0.5,On site,,,6,6
Italy,22.0,4.2,6.0,246.0,Available,,On,,,,20,200
Italy,15.0,4.2,2.5,120.0,Available,12,,1 km,,102.0,2,On
Germany,21.0,4.1,30.0,450.0,,,On,On site,No,,5,2.5
Italy,34.0,4.1,17.0,314.0,Not available,On,,,,,1.5,0.5
Italy,22.0,4.1,5.0,244.0,Not available,,On,,,,,1
Spain,32.0,4.1,11.0,650.0,Not available,On,0.1,0.1 km,No,2.0,13,6
Spain,53.0,4.1,17.0,612.0,Not available,On,,,Yes,80.0,40,0.5
Germany,28.0,4.0,30.0,700.0,Available,,On,On site,No,5.0,8,0.5
Germany,26.0,4.0,8.0,400.0,Available,,1.5,On site,No,175.0,0.5,0.1
France,22.0,4.0,4.0,97.0,,,On,On site,No,,5,1
Germany,17.0,4.0,5.0,220.0,Available,,On,,No,,6,2
Slovenia,27.0,3.9,7.0,257.0,Not available,,On,2 km,,,2,0.5
Germany,20.0,3.9,,140.0,Not available,30,On,,,,5,1
Croatia,34.0,3.8,14.0,408.0,Available,On,0.5,,,,5.9,1
Croatia,42.0,3.8,10.0,320.0,Available,On,,,No,,5,0.5
Italy,20.0,3.8,10.7,500.0,Not available,On,,2 km,No,,1.5,0.1
Croatia,28.0,3.7,10.5,550.0,Not available,On,,2 km,No,,1,1
Italy,55.0,3.7,27.0,690.0,Available,On,,,No,,13,13
Slovenia,39.0,3.6,7.0,430.0,Not available,,,,No,190.0,7,0.5
Italy,27.0,3.5,22.0,,Available,On,,,No,,,0.1
Croatia,22.0,3.5,19.5,690.0,Not available,On,,,No,,10,1.5
France,41.0,3.5,7.0,410.0,,,,,No,,0.6,
Croatia,23.0,3.5,85.0,1700.0,Not available,On,,,No,,12,1.5
Italy,32.0,3.5,30.0,333.0,,On,,,No,,15,On
Croatia,27.0,3.4,22.0,1000.0,Not available,On,,4 km,,,4,4
Croatia,26.0,3.4,110.0,1412.0,Available,On,,,No,,8,0.1
Croatia,25.0,3.3,20.0,563.0,Not available,On,,,No,,5,5
Italy,30.0,3.3,10.0,337.0,Available,,On,,No,65.0,40,1
France,27.0,3.3,6.0,233.0,Not available,,,,No,,10,0.3
Croatia,22.0,3.2,62.0,1668.0,Available,On,,,No,,3.5,3.5
Croatia,21.0,3.2,56.0,1738.0,Not available,On,,,No,,3,3
Germany,23.0,3.2,1.8,140.0,Available,,,On site,No,180.0,5,0.8
Italy,17.0,3.2,10.0,200.0,Not available,On,,,No,,20,On
Slovenia,41.0,3.1,7.0,450.0,Not available,On,,,No,,8,On
Slovenia,31.0,3.0,1.8,100.0,Available,,3,0.1 km,No,,1.5,2
Croatia,26.0,3.0,15.0,250.0,Available,On,,,No,,8,3
Croatia,20.0,2.9,9.0,708.0,Not available,On,,,No,,4,4
Slovenia,32.0,5.0,3.0,70.0,Not available,,,On site,Yes,340.0,2,2
Austria,19.0,5.0,4.0,60.0,,,,On site,No,,3,0.1
Germany,25.0,5.0,2.5,150.0,Not available,,On,,No,,6,1
France,20.0,5.0,,197.0,,0.5,,,,,,
France,18.0,5.0,6.0,160.0,Not available,,7.5,On site,No,,10,0.4
Spain,25.0,5.0,10.0,500.0,Not available,4,,,No,,4,On
Slovenia,32.0,4.9,1.0,32.0,Not available,,2,On site,Yes,433.0,3,1
France,20.0,4.9,5.0,100.0,,,,,,,,
Austria,28.0,4.8,0.5,25.0,Not available,,25,25 km,No,820.0,4,1
Austria,23.0,4.8,2.5,65.0,Not available,,20,,Yes,800.0,25,0.3
France,18.0,4.8,1.0,61.0,,0.7,7,3 km,,,,0.25
France,20.0,4.7,1.0,61.0,,0.5,,,,,1,
France,31.0,4.7,24.0,150.0,Not available,120,On,30 km,No,,14,20
France,21.0,4.7,6.0,156.0,,,,,,,12,2.5
France,20.0,4.7,9.0,192.0,,60,On,,,,8,1
Austria,24.0,4.7,2.5,130.0,Not available,,0.1,On site,Yes,622.0,12,1.5
Italy,28.0,4.6,11.0,62.0,Not available,35,,On site,Yes,400.0,25,6
Croatia,24.0,4.6,2.5,55.0,Available,On,,,No,1.0,9,0.3
Germany,19.0,4.5,1.0,48.0,Available,,,,Yes,550.0,12,On
Denmark,35.0,4.5,2.4,130.0,Available,On,,,,,On,1.5
Slovenia,24.0,4.5,8.0,200.0,Not available,,On,On site,Yes,550.0,5,1
Germany,28.0,4.5,,60.0,Not available,,On,,,,5,
France,24.0,4.5,,68.0,Not available,,,,,,,
France,29.0,4.5,2.2,114.0,Not available,,,On site,,30.0,11,0.1
Netherlands,19.0,4.5,6.5,216.0,Not available,,4,,No,,12,3
France,30.0,4.4,4.0,223.0,Available,On,,,No,,25,25
Italy,21.0,4.4,5.0,400.0,Not available,0.05,,,No,,8,0.1
Italy,46.0,4.4,18.0,418.0,Available,70,29,,Yes,563.0,4,0.5
Poland,18.0,4.4,8.0,90.0,Not available,,On,,No,279.0,4,1
France,27.0,4.4,5.0,168.0,,,,On site,No,,1,1
France,22.0,4.4,10.0,370.0,,,On,0.6 km,,,13,4
Germany,17.0,4.3,8.5,400.0,Not available,65,On,7 km,No,,12,3
Denmark,23.0,4.3,10.0,420.0,Not available,On,On,,No,,5,0.1
France,18.0,4.3,2.0,72.0,Not available,,,On site,No,100.0,10,12
Germany,16.0,4.2,,130.0,Not available,,On,On site,No,475.0,3,On
Austria,21.0,4.2,4.0,100.0,Not available,,,2 km,Yes,690.0,12,1.5
Italy,25.0,4.2,2.0,140.0,Not available,1.5,,,,,4,1
Luxembourg,29.0,4.2,,,,,,,No,,,On
Germany,36.0,4.2,30.0,24.0,Not available,On,,,No,,2,3
